Ultrasound,Canary Wharf,Orpington
Ultrasound Abdomen,£374,£305
Ultrasound Pelvis,£374,£259
Ultrasound Abdomen Including Pelvis,£545,£470
Ultrasound Aorta,£374,£305
Ultrasound MSK 1 PART,£374,£305
Ultrasound MSK 2 PARTS,£545,£385
Ultrasound Testes,£374,£305
Ultrasound Thyroid,£374,£302
Ultrasound Neck,£374,£305
Ultrasound Transvaginal,£380,£259
Ultrasound Soft Tissue / Tendon,£374,£305
Ultrasound Chest,£374,£305
Ultrasound Doppler Abdomen,£545,£415
Ultrasound Doppler Penile,£545,£415
Ultrasound Doppler Aorta (Including Duplex),£545,£415
Ultrasound Vascular & dopplcr,£545,£415
Ultrasound 2 Parts Vascular & Doppler,£666,£495
Ultrasound Flow Rate,£61,£55
Ultrasound DVT One LEG,£424,£330
Ultrasound DVT Two LEG,£605,£495
Ultrasound Guided Biopsy,"£1,700",£715
Ultrasound Guided FNA,£726,£605
Ultrasound Guided Injection,£787,£450
Blood Injection (PRP),£512,–
Ultrasound Transrectal,£495,£410
Early Pregnancy Scan,£182,–
