X-Ray,Canary Wharf,Orpington
X-Ray Chest,£154,£90
XR Lumbar Spine,£154,£120
XR Pelvis,£154,£120
XR SACRUM SPINE,£154,£120
XRAY THORACIC SPINE,£154,£120
XR HIP,£154,£120
XR ABDOMEN,£154,£120
XR SKULL – 2 OR MORE VIEWS,£154,£120
XR SHOULDER,£154,£120
XR HUMERUS,£154,£120
XR ELBOW,£154,£120
XR FOREARM,£154,£120
XRAY WRIST 2 VIEWS,£154,£120
XRAY HAND 2 VIEWS,£154,£120
XRAY FINGERS 2 VIEWS,£154,£120
XR KNEE,£154,£120
XR TIBIA AND FIBULA,£154,£120
XRAY ANKLE 2 VIEWS OR MORE,£154,£120
XRAY Foot,£154,£120
XRAY TOE 2 VIEWS,£154,£120
XR COCCYX SPINE,£154,£120
XR CLAVICLE,£154,£120
XR FEMUR,£154,£120
XR FACIAL BONES,£154,£120
